siteID,HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,publicationDate
SERC,000.010,CFGLOC101565,Smithsonian Environmental Single Aspirated Air Temperature L1,2010-01-01T00:00:00Z,NA,TOWER101561,Smithsonian Environmental Tower,2010-01-01T00:00:00Z,NA,5.36,2.31,0.3,0,0,0,38.890131,-76.560014,32.53,20200621T113527Z
SERC,000.020,CFGLOC101570,Smithsonian Environmental Single Aspirated Air Temperature L2,2010-01-01T00:00:00Z,NA,TOWER101561,Smithsonian Environmental Tower,2010-01-01T00:00:00Z,NA,5.35,2.36,3.84,0,0,0,38.890131,-76.560014,32.53,20200621T113527Z
SERC,000.030,CFGLOC101575,Smithsonian Environmental Single Aspirated Air Temperature L3,2010-01-01T00:00:00Z,NA,TOWER101561,Smithsonian Environmental Tower,2010-01-01T00:00:00Z,NA,5.35,2.36,18.85,0,0,0,38.890131,-76.560014,32.53,20200621T113527Z
SERC,000.040,CFGLOC101580,Smithsonian Environmental Single Aspirated Air Temperature L4,2010-01-01T00:00:00Z,NA,TOWER101561,Smithsonian Environmental Tower,2010-01-01T00:00:00Z,NA,5.35,2.36,35.23,0,0,0,38.890131,-76.560014,32.53,20200621T113527Z
SERC,000.050,CFGLOC101585,Smithsonian Environmental Single Aspirated Air Temperature L5,2010-01-01T00:00:00Z,NA,TOWER101561,Smithsonian Environmental Tower,2010-01-01T00:00:00Z,NA,5.35,2.36,40.73,0,0,0,38.890131,-76.560014,32.53,20200621T113527Z
UKFS,000.010,CFGLOC101615,University of Kansas Single Aspirated Air Temperature L1,2010-01-01T00:00:00Z,NA,TOWER101611,University of Kansas Tower,2010-01-01T00:00:00Z,NA,5.37,2.31,0.27,0,0,0,39.040431,-95.19215,321.58,20200621T124411Z
UKFS,000.020,CFGLOC101620,University of Kansas Single Aspirated Air Temperature L2,2010-01-01T00:00:00Z,NA,TOWER101611,University of Kansas Tower,2010-01-01T00:00:00Z,NA,5.36,2.36,1.09,0,0,0,39.040431,-95.19215,321.58,20200621T124411Z
UKFS,000.030,CFGLOC101625,University of Kansas Single Aspirated Air Temperature L3,2010-01-01T00:00:00Z,NA,TOWER101611,University of Kansas Tower,2010-01-01T00:00:00Z,NA,5.35,2.36,7.92,0,0,0,39.040431,-95.19215,321.58,20200621T124411Z
UKFS,000.040,CFGLOC101630,University of Kansas Single Aspirated Air Temperature L4,2010-01-01T00:00:00Z,NA,TOWER101611,University of Kansas Tower,2010-01-01T00:00:00Z,NA,5.36,2.36,18.98,0,0,0,39.040431,-95.19215,321.58,20200621T124411Z
UKFS,000.050,CFGLOC101635,University of Kansas Single Aspirated Air Temperature L5,2010-01-01T00:00:00Z,NA,TOWER101611,University of Kansas Tower,2010-01-01T00:00:00Z,NA,5.36,2.36,24.17,0,0,0,39.040431,-95.19215,321.58,20200621T124411Z
NOGP,000.010,CFGLOC111470,Northern Great Plains Single Aspirated Air Temperature L1,2010-01-01T00:00:00Z,NA,TOWER111466,Northern Great Plains Tower,2010-01-01T00:00:00Z,NA,5.36,2.31,0.3,0,0,0,46.769727,-100.91536,588.63,20200621T155308Z
NOGP,000.020,CFGLOC111476,Northern Great Plains Single Aspirated Air Temperature L2,2010-01-01T00:00:00Z,NA,TOWER111466,Northern Great Plains Tower,2010-01-01T00:00:00Z,NA,5.35,2.36,1.43,0,0,0,46.769727,-100.91536,588.63,20200621T155308Z
NOGP,000.030,CFGLOC111482,Northern Great Plains Single Aspirated Air Temperature L3,2010-01-01T00:00:00Z,NA,TOWER111466,Northern Great Plains Tower,2010-01-01T00:00:00Z,NA,5.35,2.36,3.61,0,0,0,46.769727,-100.91536,588.63,20200621T155308Z
STER,000.010,CFGLOC100016,Sterling Single Aspirated Air Temperature L1,2010-01-01T00:00:00Z,NA,TOWER100002,Sterling Tower,2010-01-01T00:00:00Z,NA,5.36,2.4,0.21,0,0,0,40.461927,-103.02929,1364.63,20200621T192751Z
STER,000.020,CFGLOC100017,Sterling Single Aspirated Air Temperature L2,2010-01-01T00:00:00Z,NA,TOWER100002,Sterling Tower,2010-01-01T00:00:00Z,NA,5.36,2.36,1.51,0,0,0,40.461927,-103.02929,1364.63,20200621T192751Z
STER,000.030,CFGLOC100018,Sterling Single Aspirated Air Temperature L3,2010-01-01T00:00:00Z,NA,TOWER100002,Sterling Tower,2010-01-01T00:00:00Z,NA,5.36,2.36,4.61,0,0,0,40.461927,-103.02929,1364.63,20200621T192751Z
